Name,N/A,Min Price,Type
_____,,$0.40,$0.43
_____ _____ _____ Trespasser,,$0.06,$0.06
_____ _____ Rocketship,,$0.01,$0.01
_____ Balls of Fire,,$0.01,$0.01
_____ Bird Gets the Worm,,$0.01,$0.01
_____ Goblin,,$0.17,$0.10
_____-o-saurus,,$0.01,$0.01
"""Brims"" Barone, Midway Mobster",,$0.09,$0.10
"""Lifetime"" Pass Holder",,$0.13,$0.26
"""Rumors of My Death . . .""",,$0.10,$0.10
+2 Mace,,$0.01,$0.01
1996 World Champion,,N/A,N/A
A Display of My Dark Power,,$8.59,$9.54
A Good Day to Pie,,$0.06,$0.05
A Good Thing,,$1.34,N/A
A Little Chat,,$0.08,$0.05
A Real Handful,,$0.06,$0.06
A Reckoning Approaches,,$1.09,$0.99
"A-Baba Lysaga, Night Witch",,N/A,N/A
A-Baleful Beholder,,N/A,N/A
A-Blessed Hippogriff // A-Tyr's Blessing,,N/A,N/A
A-Carnelian Orb of Dragonkind,,N/A,N/A
A-Circle of the Land Druid,,N/A,N/A
A-Dawnbringer Cleric,,N/A,N/A
A-Dragonborn Looter,,N/A,N/A
A-Druidic Ritual,,N/A,N/A
A-Earthquake Dragon,,N/A,N/A
A-Emerald Dragon // A-Dissonant Wave,,N/A,N/A
A-Eyes of the Beholder,,N/A,N/A
A-Goggles of Night,,N/A,N/A
